Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,E1 Producer Score,E1 Evidence,E2 Accessible Score,E2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Decision Maker Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,C7 Systems Maturity Score,C7 Evidence,C8 Succession Score,C8 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources,Verification Status,,,,,,,,,,
Stud Craft India Pvt. Ltd.,https://www.studcraft.com/precision-engineering-components.html,Pune / Khed Shivapur,Basket C - Precision auto components & engineering,"Cold-forged weld studs, critical bolts, fasteners and precision engineering components for automotive/industrial applications", 10-25 cr (Tofler),Kedar Pramod Apshankar(Economic Times),Director & CEO,Company leadership not verified from public source in this pass,Strong,Website states own infrastructure and cold-forging machines for special/critical bolts and fasteners; components made in-house.,Strong,"Factory/contact page shows Gat No.155/3, Arvi Village, Near Khed Shivapur, Pune 412205.",Strong,ISO 9001 / IATF 16949 certified; state-of-the-art progressive 5-station part former for complex automotive components with high dimensional consistency.,Weak,Decision-maker background not verified; avoid claiming founder pedigree.,Strong,"Auto fasteners/precision components benefit from auto localization, Make in India and supplier quality upgrades.",Moderate,Current working website and visible certifications; no public recent expansion/hiring verified.,Moderate,"IATF 16949 implies formal quality systems and documented process discipline, but ERP/SAP not verified.",Weak,No Gen-2 or professional leadership depth verified publicly.,65,B - Probable Federer,Fit with caveats,"Strong technical/manufacturing fit, but decision-maker and succession evidence need manual verification.",IATF-certified Pune fastener manufacturer using a 5-station part former for high-consistency automotive components.,https://www.studcraft.com/precision-engineering-components.html; https://www.studcraft.com/precision-engineering-components.html; https://www.google.com/search?q=site%3Atofler.in+%22Stud+Craft+India+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Stud+Craft+India+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Stud+Craft+India+Pvt.+Ltd.%22; https://www.google.com/search?q=%22Stud+Craft+India+Pvt.+Ltd.%22+MCA+CIN+directors; https://www.google.com/search?q=%22Stud+Craft+India+Pvt.+Ltd.%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Stud+Craft+India+Pvt.+Ltd.%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Stud+Craft+India+Pvt.+Ltd.%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Craft And Technik Industries,https://craftandtechnik.com/about-us/,Pune,Basket C - Precision auto components & engineering,"Precision machined components for automobile, power generation and industrial refrigeration industries",1  to 10 Cr(Self Published),P. S. Umbrani,"Founder, Owner, and Managing Director", first-generation mechanical engineer,Strong,"Company page says it is a manufacturer of precision machined components with a 14,000 sq.ft machining facility.",Strong,Public company page identifies the company as Pune-based; verify exact plant address before final submission.,Strong,"ISO / IATF 16949:2016 company; exports precision machined components to UK, USA and China.",Moderate,Operator-led company started in 1996; explicit technical education not verified.,Strong,Automobile precision machining and exports align with China+1 and OEM localization tailwinds.,Moderate,Exports to UK/USA/China and active website; no 2nd growth signal found in this pass.,Moderate,IATF certification and export readiness suggest process maturity; ERP/SAP not verified.,Weak,No public evidence of Gen-2/senior leadership depth found.,73,B - Probable Federer,Fit with caveats,"Good Federer candidate due to exports, IATF and precision machining; needs decision-maker verification.","Exports IATF-certified precision machined components from Pune to UK, USA and China.",https://craftandtechnik.com/about-us/; https://craftandtechnik.com/about-us/; https://www.google.com/search?q=site%3Atofler.in+%22Craft+And+Technik+Industries%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Craft+And+Technik+Industries%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Craft+And+Technik+Industries%22; https://www.google.com/search?q=%22Craft+And+Technik+Industries%22+MCA+CIN+directors; https://www.google.com/search?q=%22Craft+And+Technik+Industries%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Craft+And+Technik+Industries%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Craft+And+Technik+Industries%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Presswell Tools & Components / Presswell Group,https://presswelltools.com/,Pune,Basket C - Precision auto components & engineering,"Precision sheet-metal components, tubular components, machined components, turned components, welded assemblies and sub-assemblies for automotive sector",?25 to ?50 Cr ,Mr. Vinay Chaudhary,Managing Director,Leadership details not verified in this pass.,Strong,Website describes multiple manufacturing units and auto-sector component manufacturing.,Strong,Company is Pune-based; verify exact operational units before final submission.,Strong,"IATF 16949:2016 certified; multiple product categories across sheet metal, turned, machined and welded assemblies.",Weak,Decision-maker background not verified.,Strong,Auto components and welded/machined assemblies benefit from OEM localization and tier supplier quality requirements.,Moderate,Active website and multiple units; recent expansion/hiring not verified.,Moderate,IATF certification and multiple units imply process discipline; ERP/SAP not verified.,Weak,Succession/professional leadership not publicly verified.,65,B - Probable Federer,Fit with caveats,"Good producer and technical fit, weaker on public leadership/succession evidence.","IATF-certified Pune group manufacturing precision sheet metal, tubular, machined and welded auto assemblies since 2004.",https://presswelltools.com/; https://presswelltools.com/; https://www.google.com/search?q=site%3Atofler.in+%22Presswell+Tools+%26+Components+%2F+Presswell+Group%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Presswell+Tools+%26+Components+%2F+Presswell+Group%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Presswell+Tools+%26+Components+%2F+Presswell+Group%22; https://www.google.com/search?q=%22Presswell+Tools+%26+Components+%2F+Presswell+Group%22+MCA+CIN+directors; https://www.google.com/search?q=%22Presswell+Tools+%26+Components+%2F+Presswell+Group%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Presswell+Tools+%26+Components+%2F+Presswell+Group%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Presswell+Tools+%26+Components+%2F+Presswell+Group%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Renuka Auto Components India Pvt. Ltd.,https://www.renukagroup.in/cnc-computer-numerical-control-component-parts-manufacturers.php,Pune / Bhosari / Chakan,Basket C - Precision auto components & engineering,"CNC machined components, VMC machined parts, aluminium die casting components and precision machine components",?66.4 Cr,Girish Premkumar Sharma & Manas Premkumar Sharma,Directors,Leadership details not verified in this pass.,Strong,Company page describes CNC/VMC machining and aluminium die casting component manufacturing.,Strong,Website lists Plant 1 in Bhosari and Plant 2/3 around Chakan/Pune industrial area.,Strong,IATF 16949:2016 and ISO 9001:2015 certified; multi-plant machining/die-casting capability.,Weak,Decision-maker quality not verified publicly.,Strong,"Automotive/EV lightweight components, die-casting and CNC machining have auto localization and EV tailwinds.",Moderate,Multiple plants and active current website; recent expansion/hiring not confirmed.,Moderate,IATF certification and multi-plant footprint suggest structured quality systems; ERP not verified.,Weak,Succession/leadership depth not verified.,65,B - Probable Federer,Fit with caveats,"Strong manufacturing and location fit, but leadership evidence is missing.",Multi-plant Pune/Chakan IATF-certified auto-component manufacturer with CNC machining and aluminium die-casting capability.,https://www.renukagroup.in/cnc-computer-numerical-control-component-parts-manufacturers.php; https://www.renukagroup.in/cnc-computer-numerical-control-component-parts-manufacturers.php; https://www.renukagroup.in/precision-machined-components-manufacturers-in-south-africa.php; https://www.google.com/search?q=site%3Atofler.in+%22Renuka+Auto+Components+India+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Renuka+Auto+Components+India+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Renuka+Auto+Components+India+Pvt.+Ltd.%22; https://www.google.com/search?q=%22Renuka+Auto+Components+India+Pvt.+Ltd.%22+MCA+CIN+directors; https://www.google.com/search?q=%22Renuka+Auto+Components+India+Pvt.+Ltd.%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Renuka+Auto+Components+India+Pvt.+Ltd.%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Renuka+Auto+Components+India+Pvt.+Ltd.%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Jiteen Automobiles Pvt. Ltd.,https://jiteenautomobiles.com/precision-machined-components/,Pune / Bhosari / Chakan,Basket C - Precision auto components & engineering,"Precision machined components, gear cutting and forged components for automotive applications",?27.8 Cr,Tukaram Ghanshyam Naik & Prashant Tukaram Naik ,Directors,Company page states established in 1985 by Mr. T.G. Naik; detailed background not verified.,Strong,Website says company started as machining business unit in Bhosari and added gear cutting and forging vertical.,Strong,Bhosari Pune machining and Chakan Pune forging vertical are stated on company page.,Strong,"IATF 16949:2016 certified; integrated machining, gear cutting and forging capability.",Moderate,Founder named and long operator history visible; technical education/systems background not verified.,Strong,Automotive precision machining/gear/forging benefits from localization and supplier quality upgrades.,Moderate,Visible expansion history from machining to gear cutting to forging; current recent signal not verified.,Moderate,IATF certification implies formal quality system; ERP/SAP not verified.,Weak,Gen-2/professional leadership not verified.,73,B - Probable Federer,Fit with caveats,Good integrated precision auto manufacturer; stronger if DM and current growth signals are verified.,"Bhosari machining business expanded into gear cutting and a Chakan forging vertical, with IATF 16949 certification.",https://jiteenautomobiles.com/precision-machined-components/; https://jiteenautomobiles.com/precision-machined-components/; https://www.google.com/search?q=site%3Atofler.in+%22Jiteen+Automobiles+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Jiteen+Automobiles+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Jiteen+Automobiles+Pvt.+Ltd.%22; https://www.google.com/search?q=%22Jiteen+Automobiles+Pvt.+Ltd.%22+MCA+CIN+directors; https://www.google.com/search?q=%22Jiteen+Automobiles+Pvt.+Ltd.%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Jiteen+Automobiles+Pvt.+Ltd.%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Jiteen+Automobiles+Pvt.+Ltd.%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Robocon CNC Pvt. Ltd.,https://roboconcnc.com/,Pune,Basket C - Precision auto components & engineering,"High-precision CNC machined parts for automotive, aerospace, medical, EV and industrial automation industries",?1 Cr to ?100 Cr,Sarika Sachin Pawar & Ujwala Nitin Pawar,Directors,Leadership details not verified in this pass.,Strong,Website states parts are manufactured in Pune with CNC machining and inspection capability.,Strong,"Website headline states manufactured in Pune, India.",Strong,"Claims 5-axis CNC machining, CMM inspection, ±0.005 mm accuracy, export documentation and exports to USA/Germany/Europe.",Weak,Decision-maker background not verified.,Strong,"Aerospace, EV, medical and export precision machining strongly align with China+1 and Make-in-India tailwinds.",Strong,Website appears current and export/global-OEM oriented; growth signal from broad export markets and high-end capabilities.,Moderate,CMM inspection/export documentation imply process maturity; ERP/SAP not verified.,Weak,Succession/professional leadership not verified.,80,A - Strong Federer,Strong fit with leadership caveat,Excellent differentiation and sector/tailwind fit; must verify management and revenue before outreach.,"Pune CNC manufacturer claiming ±0.005 mm tolerance, 5-axis machining and exports to USA, Germany and Europe.",https://roboconcnc.com/; https://roboconcnc.com/; https://www.google.com/search?q=site%3Atofler.in+%22Robocon+CNC+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Robocon+CNC+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Robocon+CNC+Pvt.+Ltd.%22; https://www.google.com/search?q=%22Robocon+CNC+Pvt.+Ltd.%22+MCA+CIN+directors; https://www.google.com/search?q=%22Robocon+CNC+Pvt.+Ltd.%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Robocon+CNC+Pvt.+Ltd.%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Robocon+CNC+Pvt.+Ltd.%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Proton Metalcrafts Pvt. Ltd.,https://protonmetalcrafts.com/,Pune,Basket C - Precision auto components & engineering,"Precision machined components and assemblies for defence, aerospace and engineering sectors",?11.5 Cr,"Gajanan Dattatraya Lupane, Vivek Gajanan Lupane, & Vaishali Gajanan Lupane",Directors,Leadership details not verified in this pass.,Strong,Website states it supplies precision machined components and assemblies.,Strong,Company is Pune-based; confirm full plant address during manual QA.,Strong,AS9100:RevD and ISO 9001:2015 certified for defence/aerospace precision machined components and assemblies.,Weak,Decision-maker background not verified.,Strong,Defence/aerospace precision manufacturing benefits from Make-in-India and aerospace supply-chain localization.,Moderate,Active certification and website; recent facility/hiring not verified.,Strong,"AS9100 certification strongly implies traceability, documentation and aerospace-grade quality systems.",Weak,Succession/professional management not verified.,75,B - Probable Federer,Strong fit with caveats,High-quality technical/systems fit because of AS9100; missing leadership and growth data.,AS9100:RevD certified Pune manufacturer of precision machined components for defence and aerospace.,https://protonmetalcrafts.com/; https://protonmetalcrafts.com/; https://www.google.com/search?q=site%3Atofler.in+%22Proton+Metalcrafts+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Proton+Metalcrafts+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Proton+Metalcrafts+Pvt.+Ltd.%22; https://www.google.com/search?q=%22Proton+Metalcrafts+Pvt.+Ltd.%22+MCA+CIN+directors; https://www.google.com/search?q=%22Proton+Metalcrafts+Pvt.+Ltd.%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Proton+Metalcrafts+Pvt.+Ltd.%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Proton+Metalcrafts+Pvt.+Ltd.%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Ravikiran Engineering,https://www.ravikiranengineering.com/,Pune,Basket C - Precision auto components & engineering,"CNC-turned and milled precision components for OEMs in oil & gas, automotive, HVAC, diesel engines, sensor technology and textile machinery",?1 Cr to ?5 Cr ,Ravikiran R.,Founder/Senior Partner,Leadership details not verified in this pass.,Strong,Website identifies it as manufacturer and supplier of precision CNC machined components.,Strong,"Website positions company as a precision components manufacturer in Pune, India.",Moderate,"ISO 9001:2015 certified; 40+ years industry experience and OEM sectors, but no IATF/AS9100 found.",Weak,Decision-maker background not verified.,Moderate,Serves automotive and industrial OEM segments; tailwind weaker than EV/aerospace-specific companies.,Moderate,Active website and 40+ year operating history; no current growth signal verified.,Moderate,ISO certification and OEM supply suggest basic systems maturity; ERP/SAP not verified.,Weak,Succession/professional leadership not verified.,50,C - Borderline,Borderline,"Real manufacturer, but weaker differentiation and leadership evidence compared to IATF/AS9100 peers.","Four-decade Pune precision CNC component manufacturer serving OEMs across automotive, oil & gas, HVAC and diesel-engine sectors.",https://www.ravikiranengineering.com/; https://www.ravikiranengineering.com/; https://www.google.com/search?q=site%3Atofler.in+%22Ravikiran+Engineering%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Ravikiran+Engineering%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Ravikiran+Engineering%22; https://www.google.com/search?q=%22Ravikiran+Engineering%22+MCA+CIN+directors; https://www.google.com/search?q=%22Ravikiran+Engineering%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Ravikiran+Engineering%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Ravikiran+Engineering%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Anjali T Precision,https://anjalitprecision.com/home.html,Pune / Pimpri-Chinchwad,Basket C - Precision auto components & engineering,"Precision machined and ground components for automobile, agriculture and construction equipment industries",?2 Cr,T. Shinde ,Propreitor,Leadership details not verified in this pass.,Strong,Website states it manufactures precision machined and ground components.,Strong,"Website identifies Pimpri-Chinchwad, Pune area.",Moderate,Long operating history since 1989 and precision/ground machining capability; no IATF/AS9100 verified.,Weak,Decision-maker background not verified.,Moderate,Automobile/agri/construction equipment components benefit from industrial localization but not strongest specialty tailwind.,Moderate,Active website and long history; no recent growth signal verified.,Weak,No ERP/digital systems or high-level certification verified.,Weak,Succession/professional leadership not verified.,40,C - Borderline,Borderline,"Producer and Pune fit, but needs more proof of differentiation/systems before final inclusion.","Pimpri-Chinchwad precision machined and ground component manufacturer serving auto, agriculture and construction-equipment industries since 1989.",https://anjalitprecision.com/home.html; https://anjalitprecision.com/home.html; https://www.google.com/search?q=site%3Atofler.in+%22Anjali+T+Precision%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Anjali+T+Precision%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Anjali+T+Precision%22; https://www.google.com/search?q=%22Anjali+T+Precision%22+MCA+CIN+directors; https://www.google.com/search?q=%22Anjali+T+Precision%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Anjali+T+Precision%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Anjali+T+Precision%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
JAL Precision Products Ltd.,https://jalprecisionproducts.com/,Pune,Basket C - Precision auto components & engineering,"Precision transmission components such as gears, shafts and machined parts for automotive, farm equipment, hydraulics, aerospace, marine, oil & gas",?10 Cr to ?25 Cr,Anil Kumar Jain & Sanjay Jain,Promoter Directors,Leadership details not verified in this pass.,Strong,Website states company manufactures precision transmission components and machined parts.,Strong,Website says established in 1996 and based in Pune.,Strong,"Advanced CNC, CAD/CAM and high-accuracy machining; serves multiple demanding sectors including aerospace/marine/oil & gas.",Weak,Decision-maker background not verified.,Strong,"Transmission components, aerospace and precision machining align with auto/aerospace/China+1 tailwinds.",Moderate,Active website and cross-sector customer base; no recent expansion/hiring verified.,Moderate,Advanced CNC/CAD/CAM and multi-sector supply imply process maturity; ERP/SAP not verified.,Weak,Leadership succession not verified.,65,B - Probable Federer,Fit with caveats,Strong product and sector fit; leadership/succession evidence must be added manually.,"Pune company making precision gears, shafts and machined transmission components for automotive, hydraulics, aerospace and marine sectors.",https://jalprecisionproducts.com/; https://jalprecisionproducts.com/; https://www.google.com/search?q=site%3Atofler.in+%22JAL+Precision+Products+Ltd.%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22JAL+Precision+Products+Ltd.%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22JAL+Precision+Products+Ltd.%22; https://www.google.com/search?q=%22JAL+Precision+Products+Ltd.%22+MCA+CIN+directors; https://www.google.com/search?q=%22JAL+Precision+Products+Ltd.%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22JAL+Precision+Products+Ltd.%22+Pune+plant+factory+address; https://www.google.com/search?q=%22JAL+Precision+Products+Ltd.%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
