Company Name,Website / Source,City,Segment,Reason for Rejection,Failed Gate / Criterion,Notes
Bharat Forge Aerospace / Bharat Forge Ltd.,https://m.economictimes.com/industry/transportation/airlines-/-aviation/bharat-forge-launches-flight-components-manufacturing-facility-with-french-co-liebherr-aerospace-in-pune-landing-gear/articleshow/129437766.cms,Pune,Aerospace components,"Excellent capability but auto-disqualified because revenue/group scale is far above Rs.500Cr and it is a large listed group, not MSME promoter-led ICP.",Revenue > Rs.500Cr / large group,"Keep as benchmark for aerospace tailwind, not final list."
Kinetic Engineering Ltd.,https://kineticindia.com/tag/iatf-certified-auto-parts-manufacturer/,Ahmednagar / Maharashtra,Auto components,"Relevant auto-component manufacturer, but primary facility appears Ahmednagar rather than Pune operational focus.",E2 city mismatch,Use only if city scope is expanded beyond Pune.
Macro Precision Components,https://www.macroprecision.com/,Bengaluru,Aerospace precision machining,"Strong AS9100/aerospace candidate but operational facility is Bengaluru/Peenya, not Pune.",E2 city mismatch,Good model company if choosing Bengaluru.
Global Precision Pvt. Ltd.,https://www.globalprecision.in/,Gurugram / possible Pune claimed by blog,Precision machining,"Strong precision manufacturer, but official LinkedIn/company page identifies Gurugram HQ; Pune claim from a blog needs verification.",E2 uncertain,Do not include until primary Pune facility is verified.
Ganesh Precision Industries,https://www.ganeshprecision.com/about-us.php,Mumbai / Jamnagar,Precision turned components,"Manufacturer is relevant but primary source says Mumbai/Jamnagar context, not Pune operating presence.",E2 city mismatch,"Could be used in all-India sourcing, not Pune list."
KS Precision Components Pvt. Ltd.,https://www.ksprecision.com/honor-certification/,Delhi NCR,Auto components,IATF manufacturer but not Pune operational presence.,E2 city mismatch,Reject for Pune city scope.
PHB Inc.,https://www.phbcorp.com/iatf-16949-certification-automotive-certificate-for-cnc-machining-die-casting-more/,USA,Die casting/CNC,Good example of IATF auto manufacturing but not India/Pune.,E2 India/city mismatch,Reject; only useful for understanding IATF.
Mahindra CIE Automotive,https://www.thevoltbridge.com/countries/india-machining-ev-suppliers,Multiple,Auto components,Large institutional/listed/global group; not ideal MSME founder-led ICP.,Large group / ownership,Reject for DT Federer target unless a specific independent unit is justified.
NRB Bearings,Public sources,Maharashtra,Bearings,Large listed bearing company; likely above target size and not Pune-specific MSME.,Revenue/scale,Reject for target list.
Tata Autocomp Systems,Public sources,Pune,Auto components,Large Tata group company; subsidiary/large group auto-disqualification.,Subsidiary of large group,Reject despite Pune presence.
Bosch Chakan/Pune,Public sources,Pune,Auto components/systems,MNC/large corporate; not promoter-led MSME Federer ICP.,Large MNC,Reject.
Mercedes-Benz India supplier/plant,Public sources,Pune,Automotive,"OEM/large MNC, not target MSME component manufacturer.",Large MNC/OEM,Reject.
Bajaj Auto,Public sources,Pune,Automotive OEM,"Large listed OEM, not target revenue band or component MSME.",Large listed OEM,Reject.
Tata Motors Pimpri,Public sources,Pune,Automotive OEM,Large listed OEM; not a target component MSME.,Large listed group,Reject.
Mahindra Vehicle Manufacturers Chakan,Public sources,Chakan,Automotive OEM,Large OEM manufacturing facility; not target component supplier.,Large group/OEM,Reject.
Rockwell Collins / Collins Aerospace Pune,Public sources,Pune,Aerospace,Large multinational; not promoter-led MSME.,Large MNC,Reject.
Safran Aerospace India,Public sources,India,Aerospace,Large multinational; not promoter-led MSME and Pune operation unclear.,Large MNC / E2 uncertain,Reject.
Sika Interplant Systems,Public sources,Bengaluru,Aerospace/defence,Strong specialty company but not Pune.,E2 city mismatch,Good for Bengaluru list.
Maini Precision Products,Public sources,Bengaluru,Precision components,Strong precision manufacturer but outside chosen city.,E2 city mismatch,Good for Bengaluru list.
Tamboli Castings Ltd.,Public sources,Bhavnagar,Investment casting,Strong IATF/AS9100 casting company but outside Pune.,E2 city mismatch,Good for Gujarat/Vadodara/Ahmedabad strategy.
Shilpan Steelcast,Public sources,Rajkot,Investment casting,Strong specialty manufacturer but outside Pune city scope.,E2 city mismatch,Good for Gujarat sourcing.
Pentagon Forge & Machine,Public sources,Rajkot,Forging/machining,Strong forging/machining company but outside Pune city scope.,E2 city mismatch,Good for Gujarat sourcing.
Renata Precision Components Pvt. Ltd.,LinkedIn/secondary snippets,Pune,Precision components,Potentially relevant but no strong primary website/evidence captured in this pass.,Evidence weak,Keep in raw universe; research further.
